,appID,body,recordID,relevant,reviewID,score,timestamp,title,Potential or Activity,Victim/Abuser/Third
9,384830320,"Perfect for making sure everyone in the family’s safe. Some may look at it from a different perspective like spying, but our family’s extremely close and none of us worry about others seeing where we are. Our two boys went into the mountains and high centered in the snow. The app showed us right where they were we the search and rescue team went up to get them. Keep up the great work Life360!",12819,y,3683551493,,2019-01-23T02:40:46Z,Great App! Been using for almost two years!,P,T
243,384830320,"I feel that this app is very well put together and accurate, but I don’t feel like parents should track their kids AT ALL. everyone needs a little something called trust and if you don’t have it then your kids will act out and have to become sneaky. This app is designed to track families and see everything just like the parent is with you at all times. I do have this app but only with my fiends and we don’t stalk each-other we just use it to see where everyone’s at. And Bc we are so close and we all wanted it we all got it.",12938,,4024229231,,2019-04-17T13:35:08Z,LOVE HATE RELATIONSHIP:///,A,T
287,384830320,"I can’t do anything. My parents constantly watch and stalk where i’m going. It’s horrible. Sometimes it even glitches and tells my mom i’m somewhere when i’m not even close to there. This app is awful and parents should trust their own child to go where they say they are going without staking them everywhere, just like when our parents were children. This app is an invasion of privacy.
WHOEVER CREATED THIS APP. F U. 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼",13447,,3938257718,,2019-03-28T19:56:17Z,INVASION OF PRIVACY AND PEOPLE,A,V
108,384830320,Good if you enjoy stalking your kids and not letting them live a little,13847,,3859508925,,2019-03-09T04:30:01Z,Well,A,V
167,384830320,Great stalking app 😂❤️,14026,,3826802662,,2019-03-01T05:14:09Z,Great app i get to see everything my girlfriend does,A,A
284,384830320,"My family and I are all connected to this apps it’s the greatest apps ever thanks to everyone who is involved developing this apps, I see a few others out their as well but nothing compare to this one, I highly recommend to everyone I know, I was actually looking for a spy apps for my kids while they’re at school I can Watched & listen and this is the closest thing, just wished I could have listened to them also while they’re at school and on their way home but that is in the making, thanks again for 360apps❤️❤️❤️👍👍",14243,y,3414106276,,2018-11-13T17:27:06Z,Great great apps everyone in my family connects,A,A
283,384830320,This is one of the best apps now I can stalk my parents,14355,,3763337684,,2019-02-13T01:25:18Z,Stalking my parents,A,A
278,384830320,"This app was under “paid for apps not on this device”, I paid for it and my friends have been telling me my ex has spyware on my phone. He becomes abusive for no reason and accuses me of going to see other men, he was always questioning me about my whereabouts. He really hurt me. He embarrassed me. He kept all my belongings and said if I tell the police he’ll say I strolled his laptop. Please help

Afraidofdavemartinex",14774,y,3299313118,,2018-10-14T03:35:44Z,Please tell me how to get it off my phone,A,T
120,384830320,"i hate this app so much it’s not even funny. my mom stalks me now, thanks!!!",14823,,3679497361,,2019-01-22T01:03:49Z,hate it.,A,V
132,384830320,This app is awful I don’t understand why my family can’t trust me more often. It use to be like that and now they have to know everything I do. I know it’s “good parenting” and it’s just being a “parent” but is it really? Or are you just trying to spy on your kid because you have so little faith. Any parent that makes their kid get this is dumb. no. If you make your child get this you are stupid and I will stand by that claim. Never once has this actually come in handy. You know why? Because I don’t do dumb stuff. I don’t understand never in my life have I gone out and do something stupid. But one day my mom decided that we all should get this because “Then you don’t need to check in with me” LIE! Haha she still asks where I am even though when I ask her why I need this app she says that it’s good because you don’t need to check in with me anymore. And if you think I’m calling my mom stupid you would be partial right. In this instance it’s stupid. I hate this app. The people that made it can be buried under a prison for all I care.,14867,,3668509446,,2019-01-19T10:18:19Z,Hate you Life360,A,V
100,384830320,This is just a stupid app for people to spy on their kids with. Its not use for protection.,15087,,3627004959,,2019-01-08T16:44:32Z,Stupid,A,A
216,384830320,This is a really nice app that I like to track people on!! I love to stalk my friends!!!! Lololol jk!!! 🤪,15407,,3584487204,,2018-12-28T17:48:53Z,YEET,A,A
128,384830320,Whoever created this is an idiot lol... This is a great app for strict parents so you can stalk your kids because you don’t trust them. So if you want your kid to hate you GO AHEAD and get this app.,15661,,3534175877,,2018-12-15T16:59:23Z,Really?,A,V
61,384830320,Makes spying on my fiancé so much easier. Have the app hidden on her phone so she doesn’t even know I’m keeping tabs on everywhere she goes. A lot easier to find out if she’s whoring around on me and ganged by 3 dudes.,16163,,3428620311,,2018-11-17T15:13:30Z,Amazing,A,A
259,384830320,"I love to stalk my family, therefore I love this app",16215,,3414719474,,2018-11-13T22:09:17Z,❤️,A,A
127,384830320,Life 360 helps me know exactly where my family is and I love to stalk them!! 👌,16264,,3403889498,,2018-11-11T00:21:16Z,This app is amazing,A,A
277,384830320,This app is for stalker parents,16997,,3253619081,,2018-10-02T01:41:23Z,Stalkers,A,V
255,384830320,I love this app safe fun and awesome so I spy on people lalalala BAM IN YO FACE PEOPLE HAHAHAHA 🤗,17214,,3215290732,,2018-09-22T00:12:11Z,I GET TO SPY ON PEOPLE,A,A
119,384830320,"My daughter calls it stalker app, lol.  But for a parent this is a peace of mind.  Love it.",17310,,3196775784,,2018-09-16T18:06:54Z,Peace of mine,A,A
44,384830320,It’s really cool how you could spy on your mom,17490,,3164614608,,2018-09-07T19:01:45Z,Spying on your mom,A,A
25,384830320,This app is literally legalized stalking,17720,,3126842665,,2018-08-29T01:55:15Z,Review,A,T
287,384830320,I feel like a prisoner my mom knows everywhere i go there is this thing called trust but apparently my mom doesn’t have that she stalkes me with this app and I feel like I can’t have any privacy,17762,,3120532604,,2018-08-27T11:54:39Z,Very bad,A,V
50,384830320,As a teenager we should have freedom most parents are downloading this app to watch there kids 24/7 well think of it like this as a teenager you wanted freedom to hang out with your friends and mature on your own kids have to learn from there mistakes so don’t take there freedom away by spying on them all day the app is POINTLESS unless you want your kid to not be able to go out and have fun with there friends,17811,,3110891481,,2018-08-25T05:45:50Z,Teens need to have freedom,A,V
79,384830320,This app is great for parents who really just wanna spy on their kids and ruin having fun 5/5 stars!!!!,17996,,3072724527,,2018-08-16T13:34:43Z,Must have for KGB parents!,A,V
144,384830320,This app is retarded and shouldn’t even be an app cause people can LITERALLY SPY ON YOU,18234,,3002568812,,2018-08-01T20:00:11Z,Never get this!!!!!,A,V
131,384830320,"Preface: I am a parent of two teenagers.

This is the most intrusive and horrid concept ever. If you don’t trust your family members to the point of having to track their every move, including their rate of speed and braking patterns, then there is something terribly broken in your life. All this app does is tell your family how much distrust there is between you. Got a cheating spouse? Track their every move! Got a teenager you want to micromanage and control their every step? Track them! Sometimes we need to learn to trust. Yes, I share my location with my family and vice versa with the Find my Friends app, but we don’t get notifications of every single action taken (this app here sends you notifications even if you brake hard). And we don’t spend all day checking up on each other. I get safety concerns and whatnot, but this takes insecurities and distrust to a new level. Frankly, I find it disgusting and disgraceful that people have sank so low that they have resorted to spying on their own families. If teenagers aren’t given trust then how will they ever learn to trust others?",18813,,2813115438,,2018-07-01T15:16:57Z,Family Sharing Spyware,A,T
217,384830320,if you want your kids to hate you then you should download this app. if you want to know where they are just use find my friends. this app is so overboard its insane. its almost like stalking,18923,,2768646393,,2018-06-25T19:05:09Z,Hellicopter parent app,A,V
105,384830320,"this app is horrible. I hate it it’s the stupidest app ever invented. If you have psycho parents who control every breathe you take then this will make your life even more of a living hell. This app not only just tracks ur exact coordinates it tracks your speed, battery percent, whether u try to turn the app on and off. This is stalking it is not “helpful” this makes parents trust their kids even less and makes kids want to sneak around more. Maybe if kids felt like they could trust their parents and not have to have an app tell their parents every step they take, life might be a little bit more bearable. Because of this app, i have not been able to go to bonfires or go to the mall with friends or have sleepovers because my mom has been so psycho about tracking how fast i go on the highway and why it took so long for me to get home after school bc i stopped at the gas, i have no social life. i rarely get the opportunity to leave the house besides school and work. So thank you life360 for making my mom trust me even less when i barely get to go out to being with!!!",19451,,2599497161,,2018-05-26T16:05:14Z,"if you’re trying to ruin your children’s social life, then this is the app for you.",A,V
102,384830320,Doesn’t even deserve a star it’s used to spy on your kids and family members and a waste of money,19510,y,1966354345,,2017-12-03T04:03:11Z,Less than 1 star,A,T
132,384830320,"honestly if you want your kid to rebel against you even more, this is the app for you! This app has truthfully ruined my teenage years all because my mother now has a way of tracking me down 24/7. I couldn’t do the normal teenage things because I was being stalked all day. You parents didn’t have to go through this because you didn’t have this type of technology when you were growing up, so you don’t know what it’s like. And if you are a parent that gets this app, you’re the worst type of parent. And to whoever created this app: you’re the worst person on the planet Earth and every teenager absolutely hates you. Thank you!",19510,,2578722840,,2018-05-21T23:06:38Z,Should be called “Life Ruiner”,A,V
106,384830320,I LOVE THIS APP TOTALLY RECOMMEND IF YOU WANT TO STALK YOUR MAN/ FRIENDS AND FAMILY. LOVE IT❤️,20056,,2431141676,,2018-04-17T00:01:34Z,Beans,A,A
183,384830320,This app ruined my life bc im stalked 24/7 by my parents,20335,,2339803383,,2018-03-24T04:43:59Z,😩😩😩,A,V
57,384830320,"my mother made everyone in the family get this app. she freaks out when the app doesnt do its job because of random obstacles that mess with the location accuracy. Drains the battery and makes my parents paranoid to know where i am at all times. i dont even do any bad stuff, yet years of trust building are being swept away by the ability to spy on the children of a household. if youre a parent i highly recommend you dont get this app because it is extremely uncomfortable to have and it makes parents trust their children less",20430,,2306311075,,2018-03-14T21:03:20Z,this app basically ruined my family to an extent,A,V
2,384830320,My mom uses this app to stalk my angry move. What angry parent made this app?,20544,,2268385129,,2018-03-04T02:23:43Z,Lt. Dan,A,V
158,384830320,I can stalk my whole family all the time!!,21267,,2018823241,,2017-12-23T00:08:36Z,👀,A,A
249,384830320,My mom is stalking me thanks to you guys XD,21474,,1968941901,,2017-12-04T03:51:19Z,Geez,A,V
174,384830320,Nothing wrong with the app but my dad uses it to spy on my every move and it's so annoying 🙄😒 honestly wish this app would be taken off the App Store so I could make my own decisions.,22317,y,1691665741,,2017-07-21T08:44:15Z,Fine,A,V
199,384830320,"I read the negative review from a cry baby teenager who&#39;s parents care about their ungrateful, sorry behind and if they feel that way that shows they are guilty and obviously are going places where they shouldn&#39;t. I will say this is a great app. I don&#39;t use it to spy on anyone, it&#39;s just good to know when I drop my kids off to their grandparents and they decide to go somewhere I can see where they are in case of an emergency. It also alerts me when they leave school and arrive at home from the bus which is a very nice feature. It just gives me a peace of mind that they are safe and they are easy to get to if need be. If anyone has a problem with apps like this that&#39;s because they have something to hide and have cruel intentions behind it. My family and I care about each other&#39;s safety and that&#39;s what this app is for.",22700,,1792784479,0.024778205,2017-09-16T12:58:53Z,Great app,A,T
125,384830320,I like having this app because it allows me to know where my child is at all times! I don't think that this app should be used to spy on children or young adults/young teenagers however it is a good tool to have just in case your teenager does break down and they are not sure exactly where they are at.,22866,y,1665542401,,2017-07-02T02:50:24Z,Life360 made my life easier,A,T
18,384830320,this app is a so annoying i don&#39;t want my family stalking me,23026,,1773203260,,2017-09-04T16:00:26Z,hate,A,V
228,384830320,"This makes it so easy to spy on crazy family members or children or crazy family
members that act like children.",23156,,1762016649,,2017-08-30T17:00:49Z,Love it a lot,A,A
289,384830320,I can spy on my family all day!!,23219,,1757796196,,2017-08-28T23:41:57Z,This app ROCKS!!!,A,A
223,384830320,Great app for tracking people. Like your family or spying your husband hahaha,23358,,1743975164,,2017-08-24T03:30:12Z,Pretty legit,A,A
182,384830320,"This app is a terrible app. All
It is for is to be spyed in by your parents. It's annoying.",24128,y,1609622108,,2017-05-09T22:45:43Z,I hate this app,A,V
158,384830320,I love it. Now I can spy on my family when they lie about where they are. I LOVE IT,24256,,1693724914,,2017-07-22T18:06:45Z,Life360,A,A
120,384830320,"Great app for ""spying"" on your family and keeping track of teens",24557,y,1591982434,,2017-04-18T17:56:37Z,Big brother,A,A
13,384830320,I like having this app because it allows me to know where my child is at all times! I don&#39;t think that this app should be used to spy on children or young adults/young teenagers however it is a good tool to have just in case your teenager does break down and they are not sure exactly where they are at.,24830,,1665542401,,2017-07-02T02:50:24Z,Life360 made my life easier,A,A
32,384830320,I started using this last year to spy on my fiancé and now my whole family is using it. We love it!,25322,,1643622354,,2017-06-14T03:42:13Z,I love it,A,A
4,384830320,"This app is a terrible app. All
It is for is to be spyed in by your parents. It&#39;s annoying.",26090,,1609622108,,2017-05-09T22:45:43Z,I hate this app,A,V
173,384830320,Me and my friends use this app so we can stalk each other since we dont have kids. Its fun,27876,,1537893284,,2017-02-05T16:05:52Z,Stalker app,A,A
206,384830320,I love that I can spy on my man no matter where he is!,28148,y,1452436540,,2016-09-19T15:45:28Z,Spy,A,A
233,384830320,"Some may call it stalking, I call it LOVE:). I think it&#39;s kind of hard to set up, I have 6 or 7 different circles because it&#39;s so hard to add someone to an existing circle. Like the alerts: know when child arrives at school, hubby reaches home, etc. Is invasive, but I can&#39;t help it, I like it.",28296,,1522891116,0.012937204,2017-01-15T18:39:26Z,LIKE IT!,A,A
243,384830320,I love this app with this I can keep eye on my kids and spy on gf,30148,,1450985966,,2016-09-17T04:40:41Z,Great app,A,A
291,384830320,This app is super stalker-ish and I am not comfortable with this.,30574,,1440757797,,2016-08-28T16:57:08Z,Bad,A,V
277,384830320,I can spy on my husband lol,31050,,1413599013,,2016-07-17T01:44:44Z,Spy,A,A
50,384830320,This app is useless and it just helps overprotected parents spy on their sad kids,31114,,1408660202,,2016-07-10T01:04:38Z,I HATE THIS,A,V
49,384830320,"Don&#39;t let your parents get this app, you will be followed and stalked and it will ruin your high school life tbh.",31220,,1403081296,,2016-06-30T17:24:51Z,"Terrible, it's a stalker app",A,V
207,384830320,Great app to stalk your teenagers with! Love it!,31788,,1377701428,,2016-05-13T01:27:46Z,Life360,A,A
40,384830320,I don&#39;t want to stalk my family but sometimes it&#39;s nice to know where they are and this app works really well.,32508,,1353572964,,2016-03-26T01:10:26Z,Great tool,A,A
33,384830320,"Just needs a little tweaking with the location accuracy but other than that I use it to spy on my family, especially on those long cold winter nights when nobody's home. 😞",32951,y,1285202268,,2015-11-11T17:50:53Z,Great App!,A,A
246,384830320,"this is the worse app ever made. I have no life and my parents are always looking at this thing. how am I supposed to be living my life to the fullest if I&#39;m being stalk by parents all the time! getting multiple text saying, &#34;where are you&#34;,  &#34;what are you doing&#34; and &#34;you didn&#39;t tell me you were going there&#34;. if your a kid and your parents just got it, your life is over. my sister didn&#39;t have it in high school and she got away with everything!! it&#39;s absolutely ridiculous! don&#39;t download it!",33303,,1329649809,,2016-02-08T05:06:10Z,life ruiner !!!!,A,V
165,384830320,"Yay, now I can spy on my husband!!!",34199,,1303940451,,2015-12-21T14:58:47Z,Best app ever,A,A
98,384830320,So much better than &#34;find my iPhone &#34; and having to log into and out of my kids&#39; accounts. I love the history feature. My kids say it&#39;s creepy and I&#39;m being a stalker. I don&#39;t disagree but it is really nice and convenient to be able to keep track of my kids.,34298,,1300272540,,2015-12-14T01:15:00Z,Love it!,A,A
198,384830320,"This really is the perfect app for keeping track of teenage family members.  It&#39;s  not accurate enough to be a creepy stalker app, but it&#39;s plenty to keep teens honest. 
And great fun to tune into my extended family across the country.",34829,,1286188770,,2015-11-13T22:58:41Z,Perfectly imperfect,A,A
233,384830320,This app is great for an app that is free.  It doesn't update as fast as find my iPhone but it works when you need to know where someone's headed and for how long they've been there.  Spying on a boyfriend or watching a daughter or young son this app is perfect.,34953,y,1177200480,,2015-04-03T12:20:47Z,Life 360,A,A
193,384830320,Easy to stalk my family!,35795,,1263154410,,2015-09-26T17:45:22Z,Love it!,A,A
283,384830320,This is a great app to spy on my family with! 😃,36244,,1253097800,,2015-09-04T18:26:36Z,Life 360,A,A
161,384830320,"I love this app because you can find out where your family is without having to ask where they are. I would've never known where people are. Instead of worrying where people are, I just know where they are without a doubt, and I could spy on people. 👀👀👀👀👀👀",36494,y,1118960649,,2014-12-25T13:29:28Z,BEST APP EVER!!!!!!!!!!!!!,P,T
32,384830320,Not a very good app. I was laying in my room and I got yelled at because the app said I was somewhere else but really I was just watching Netflix in my room. I can&#39;t even go out to dinner w out my mother stalking my every move. Do not let your parents download this app- parents if you love your kids don&#39;t download it.,36512,,1233320215,,2015-07-26T09:38:05Z,Kiss your life goodbye,A,V
3,384830320,It&#39;s a great app to stalk your children with.,36614,,1215411245,,2015-06-21T02:20:31Z,Yes,A,A
187,384830320,This app is great for an app that is free.  It doesn&#39;t update as fast as find my iPhone but it works when you need to know where someone&#39;s headed and for how long they&#39;ve been there.  Spying on a boyfriend or watching a daughter or young son this app is perfect.,36908,,1177200480,,2015-04-03T12:20:47Z,Life 360,A,A
65,384830320,"This is an app used by overly nosy parents to spy on their kids, it's ok to be nosy, but do you really need to know where your kid is, at all times? As a kid who was a victim to this app I can tell all you parents this is just going to make your kid more sneaky, they will leave their phone somewhere and not tell you anything because they know you are spying on them",37080,y,1101256456,,2014-11-22T17:28:46Z,Nosy parents,A,V
80,384830320,Well it is not very accurate all the time but it is a great app for your family and husband to stalk you! ^_^,38290,,1121289467,,2014-12-29T18:28:23Z,Good app for stalkers,A,V
85,384830320,I like it a lot I can stalk my family!!!!😏,38814,,1109510745,,2014-12-07T18:57:29Z,Fun,A,A
8,384830320,"This is an app used by overly nosy parents to spy on their kids, it&#39;s ok to be nosy, but do you really need to know where your kid is, at all times? As a kid who was a victim to this app I can tell all you parents this is just going to make your kid more sneaky, they will leave their phone somewhere and not tell you anything because they know you are spying on them",39031,,1101256456,,2014-11-22T17:28:46Z,Nosy parents,A,V
